.	punto
-	trattino
_	underscore
!	punto esclamativo
#	cancelletto
$	segno del dollaro
%	percento
&	E commerciale
'	apostrofo
*	asterisco
+	più
/	slash
=	uguale
?	punto di domanda
^	circumflex
`	virgolette a destra
|	barra verticale
~	tilde
,	virgola
